"Kenteken","Voertuigsoort","Merk","Handelsbenaming","Vervaldatum APK","Datum tenaamstelling","Bruto BPM","Inrichting","Aantal zitplaatsen","Eerste kleur","Tweede kleur","Aantal cilinders","Cilinderinhoud","Massa ledig voertuig","Toegestane maximum massa voertuig","Massa rijklaar","Maximum massa trekken ongeremd","Maximum trekken massa geremd","Retrofit roetfilter","Zuinigheidslabel","Datum eerste toelating","Datum eerste afgifte Nederland","Wacht op keuren","Catalogusprijs","WAM verzekerd","Aantal deuren","Aantal wielen","Afstand hart koppeling tot achterzijde voertuig","Afstand voorzijde voertuig tot hart koppeling","Lengte","Breedte","Europese voertuigcategorie","Plaats chassisnummer","Technische max. massa voertuig","Type","Type gasinstallatie","Typegoedkeuringsnummer","Variant","Uitvoering","Volgnummer wijziging EU typegoedkeuring","Vermogen massarijklaar","Wielbasis","Export indicator","Openstaande terugroepactie indicator","Vervaldatum tachograaf","jaar","maan","maand"
"72ZDSP","Personenauto","VOLKSWAGEN","GOLF","13/06/2019","13/06/2016",5301,"stationwagen",5,"GRIJS","Niet geregistreerd",4,1390,1180,1820,1280,640,1300,NA,"B","14/01/2008","14/01/2008","Geen verstrekking in Open Data",24629,"Ja",0,4,0,0,0,0,"M1","r. op voorwielscherm onder motorkap",1820,NA,NA,"e1*2001/116*0242*22","ACCAXAX0","FM6FM6AJ007N0GGN1",0,0.07,257,"Nee","Nee",NA,"2016","06","06"
"43NGLJ","Personenauto","OPEL","CORSA-C","02/01/2019","20/06/2016",2514,"hatchback",5,"GRIJS","Niet geregistreerd",4,1199,935,1430,1035,450,1000,NA,"C","09/09/2003","09/09/2003","Geen verstrekking in Open Data",NA,"Ja",4,4,0,0,382,0,"M1","op bodemplaat by r. voorzitting",1430,NA,NA,"e1*98/14*0148*06","CB11","1A07A2BBCA5",0,0.05,249,"Nee","Nee",NA,"2016","06","06"
"HVGD51","Personenauto","TOYOTA","STARLET 1.3 E2","26/02/2019","23/06/2016",1973,"hatchback",NA,"ROOD","Niet geregistreerd",4,1296,777,1245,877,388,800,NA,NA,"26/04/1994","26/04/1994","Geen verstrekking in Open Data",NA,"Ja",2,4,0,0,0,0,"M1","r. tegen schutbord onder motorkap",1245,NA,NA,NA,NA,NA,0,0.06,230,"Nee","Nee",NA,"2016","06","06"
"JT971V","Personenauto","AUDI","A3 SPORTBACK","24/06/2020","24/06/2016",2512,"hatchback",5,"WIT","Niet geregistreerd",4,1395,1210,1795,1310,650,1500,NA,"B","24/06/2016","24/06/2016","Geen verstrekking in Open Data",37134,"Ja",4,4,0,0,0,0,"M1","in motorruimte r.",1795,"8V",NA,"e1*2007/46*0607*19","SCZEAF1","FD7AM014P8V187MMEM1",0,0.08,262,"Nee","Nee",NA,"2016","06","06"
"51SGF9","Personenauto","TOYOTA","TOYOTA YARIS","12/09/2020","11/06/2016",NA,"MPV",5,"GROEN","Niet geregistreerd",3,998,955,1430,1055,527,750,NA,"A","22/09/2011","22/09/2011","Geen verstrekking in Open Data",14160,"Ja",4,4,0,0,389,0,"M1","r. voorzitting",1430,"XP13M(A)",NA,"e11*2007/46*0152*01","KSP13F(MH)","KSP130L-CHMNKW(2B)",0,0.05,251,"Nee","Ja",NA,"2016","06","06"
"95LNXV","Personenauto","FIAT","FIAT PUNTO","17/12/2018","22/06/2016",2285,"hatchback",5,"BLAUW","Niet geregistreerd",4,1242,835,1370,935,400,1000,NA,"B","21/03/2003","21/03/2003","Geen verstrekking in Open Data",NA,"Ja",2,4,0,0,380,0,"M1","r. op bodemplaat v. r. voorzitting",1370,NA,NA,"e3*98/14*0048*03","AXA1A","00U",0,0.05,246,"Nee","Nee",NA,"2016","06","06"
"JT411J","Personenauto","VOLVO","V70","20/06/2019","20/06/2016",6514,"stationwagen",5,"ZWART","Niet geregistreerd",4,1969,1571,2260,1671,750,1800,"Nee","B","20/06/2016","20/06/2016","Geen verstrekking in Open Data",45990,"Ja",5,4,0,0,481,0,"M1","in bodemplaat r. v.",2260,"B",NA,"e9*2001/116*0065*28","BW73","BW7381??",0,0.08,282,"Nee","Nee",NA,"2016","06","06"
"TDFN97","Personenauto","PEUGEOT","306","11/07/2019","28/06/2016",3406,"stationwagen",NA,"GRIJS","Niet geregistreerd",4,1587,1095,1605,1195,590,1000,NA,NA,"02/04/1998","02/04/1998","Geen verstrekking in Open Data",NA,"Ja",4,4,0,0,0,0,"M1","r. op randprofiel onder motorkap",1605,NA,NA,"e2*93/81*0150*00","E","E",1,0.05,258,"Nee","Nee",NA,"2016","06","06"
"53PLTN","Personenauto","DAEWOO","KALOS","06/03/2019","15/06/2016",1617,"hatchback",5,"ROOD","Niet geregistreerd",4,1150,935,1455,1035,500,1100,NA,"D","31/08/2004","31/08/2004","Geen verstrekking in Open Data",NA,"Ja",4,4,0,0,388,0,"M1","r. op schutbord onder motorkap",1455,NA,NA,"e4*2001/116*0063*08","SH2","222",0,0.05,248,"Nee","Nee",NA,"2016","06","06"
"JT748X","Personenauto","NISSAN","NISSAN MICRA","24/06/2020","24/06/2016",3628,"MPV",5,"BLAUW","Niet geregistreerd",3,1198,901,1425,1001,NA,NA,NA,"D","24/06/2016","24/06/2016","Geen verstrekking in Open Data",14084,"Ja",4,4,0,0,383,0,"M1","in motorruimte r.",1425,"K13",NA,"e13*2007/46*1111*12","A","A07",0,0.06,245,"Nee","Nee",NA,"2016","06","06"
"GZ150S","Personenauto","PEUGEOT","3008","06/06/2019","07/06/2016",6075,"MPV",5,"GRIJS","Niet geregistreerd",4,1997,1514,2100,1614,750,1500,"Nee","E","25/03/2011","26/01/2016","Geen verstrekking in Open Data",41800,"Ja",4,4,0,0,437,0,"M1","r. by schroefveerkoker",2100,"0U",NA,"e2*2001/116*0377*08","RHH","A/1",0,0.07,261,"Nee","Nee",NA,"2016","06","06"
"38PSHB","Personenauto","FORD","FOCUS","15/06/2019","16/06/2016",3856,"hatchback",5,"GRIJS","Niet geregistreerd",4,1596,1044,1590,1144,570,1200,NA,"C","30/10/2004","30/10/2004","Geen verstrekking in Open Data",NA,"Ja",4,4,0,0,0,0,"M1","op bodemplaat by r. voorzitting",1590,NA,NA,"e13*97/27*0037*17","FYDB1","5CAEKC",0,0.06,262,"Nee","Nee",NA,"2016","06","06"
"99PVX1","Personenauto","LEXUS","LEXUS CT200H","13/05/2019","17/06/2016",NA,"hatchback",5,"ZWART","Niet geregistreerd",4,1798,1345,1790,1445,NA,NA,NA,"A","13/05/2011","13/05/2011","Geen verstrekking in Open Data",32709,"Ja",4,4,0,0,432,0,"M1","r. bodemplaat onder voorzitting",1790,"A10(A)",NA,"e11*2007/46*0150*00","ZWA10(H)","ZWA10L-AHXEBW(1A)",0,0.01,260,"Nee","Nee",NA,"2016","06","06"
"FT8742","Personenauto","AUSTIN","HEALEY SPRITE MK 11","03/07/2017","10/06/2016",NA,"Niet geregistreerd",NA,"GEEL","Niet geregistreerd",4,NA,683,NA,783,NA,NA,NA,NA,"04/08/1961","04/08/1961","Geen verstrekking in Open Data",NA,"Ja",2,4,0,0,0,0,"M1","op r. steun a. schroefveerkoker onder motorkap",0,NA,NA,NA,NA,NA,0,0,203,"Nee","Nee",NA,"2016","06","06"
"13KPS1","Personenauto","OPEL","MERIVA-A","19/01/2019","24/06/2016",4190,"MPV",5,"BLAUW","Niet geregistreerd",4,1598,1275,1855,1375,675,1200,NA,"D","19/01/2010","19/01/2010","Geen verstrekking in Open Data",20804,"Ja",4,4,0,0,405,0,"M1","op bodemplaat by r. voorzitting",1855,"X01MONOCAB",NA,"e1*2001/116*0215*16","BJ11","1A02A4CJAG5",0,0.06,263,"Nee","Nee",NA,"2016","06","06"
"4SJK86","Personenauto","RENAULT","MEGANE","03/11/2018","16/06/2016",675,"stationwagen",5,"GRIJS","Niet geregistreerd",4,1461,1283,1864,1383,690,1500,"Nee","A","24/10/2012","21/01/2014","Geen verstrekking in Open Data",25945,"Ja",4,4,0,0,456,0,"M1","r. dwarsbalk v. voorzitting",1864,"Z",NA,"e2*2001/116*0373*34","KZ14","KZ1406",0,0.06,270,"Nee","Nee",NA,"2016","06","06"
